top - 11:49:56 up 13 days, 18:02,  2 users,  load average: 0.00, 0.00, 0.00
Tasks: 219 total,   1 running, 168 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.3 us,  0.2 sy,  0.0 ni, 99.4 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :  8036348 total,  3582400 free,   902944 used,  3551004 buff/cache
KiB Swap:  2097148 total,  2097148 free,        0 used.  6631604 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
17601 ssqa      20   0  204400   5632   5060 S   0.0  0.1   0:00.00 gvfsd-metadata
17633 ssqa      20   0  727252  37556  28516 S   0.0  0.5   0:01.52 gnome-terminal-
17642 ssqa      20   0   29548   4764   3368 S   0.0  0.1   0:00.06 bash
19604 root      20   0       0      0      0 I   0.0  0.0   0:06.33 kworker/1:3-mm_
19638 root      20   0   45224   2948   2440 S   0.0  0.0   0:00.57 wpa_supplicant
26882 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 xfsalloc
26883 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 xfs_mru_cache
26896 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jfsIO
26897 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jfsCommit
26898 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jfsCommit
26899 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jfsCommit
26900 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jfsCommit
26901 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jfsSync
28032 root      20   0       0      0      0 I   0.0  0.0   0:11.00 kworker/3:2-eve
28313 systemd+  20   0  135572   3088   2612 S   0.0  0.0   0:00.23 systemd-timesyn
28316 root      20   0   25988   3048   1776 S   0.0  0.0   0:01.28 dhclient
28659 systemd+  20   0   70752   6184   5496 S   0.0  0.1   0:00.55 systemd-resolve
29946 root      20   0  203948  17600   8148 S   0.0  0.2   0:00.31 cupsd
29947 root      20   0  306304  11860   9748 S   0.0  0.1   0:00.98 cups-browsed
29960 lp        20   0   86408   6168   5356 S   0.0  0.1   0:00.00 dbus
30041 root      20   0       0      0      0 I   0.0  0.0   0:04.01 kworker/2:0-mm_

top - 11:49:59 up 13 days, 18:02,  2 users,  load average: 0.00, 0.00, 0.00
Tasks: 219 total,   1 running, 168 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.5 us,  0.2 sy,  0.1 ni, 99.1 id,  0.0 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem :  8036348 total,  3582360 free,   902964 used,  3551024 buff/cache
KiB Swap:  2097148 total,  2097148 free,        0 used.  6631564 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
  723 avahi     20   0   48824   5196   3120 S   2.3  0.1  99:26.80 avahi-daemon
   10 root      20   0       0      0      0 I   0.3  0.0  12:16.64 rcu_sched
 2613 root      20   0       0      0      0 I   0.3  0.0   0:00.21 kworker/0:0-eve
 2636 ssqa      20   0   51180   4100   3448 R   0.3  0.1   0:00.03 top
    1 root      20   0  225684   9476   6732 S   0.0  0.1   0:09.93 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.13 kthreadd
    3 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rcu_par_gp
    6 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/0:0H-kb
    8 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mm_percpu_wq
    9 root      20   0       0      0      0 S   0.0  0.0   0:00.38 ksoftirqd/0
   11 root      rt   0       0      0      0 S   0.0  0.0   0:01.90 migration/0
   12 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/0
   14 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/0
   15 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/1
   16 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/1
   17 root      rt   0       0      0      0 S   0.0  0.0   0:01.53 migration/1
   18 root      20   0       0      0      0 S   0.0  0.0   0:00.20 ksoftirqd/1
   20 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/1:0H-kb
   21 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/2
   22 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/2
   23 root      rt   0       0      0      0 S   0.0  0.0   0:01.66 migration/2
   24 root      20   0       0      0      0 S   0.0  0.0   0:14.35 ksoftirqd/2
   26 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/2:0H-kb
   27 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/3
   28 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/3
   29 root      rt   0       0      0      0 S   0.0  0.0   0:02.20 migration/3
   30 root      20   0       0      0      0 S   0.0  0.0   0:00.41 ksoftirqd/3
   32 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/3:0H-kb
   33 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kdevtmpfs
   34 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 netns
   35 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_tasks_kthre
